School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Cluster,Gifted_Prob,Gifted
8,6,47,50.0,3.0,6,21,1,1,23.81,0.0,0.796451452,1.143452463,1,0.9496015480657377,0
9,6,54,30.0,1.0,6,21,1,2,38.1,9.52,0.982572271,0.99598952,1,0.9491805998428225,0
9,4,52,20.0,0.0,4,25,1,1,16.0,16.0,1.152143059,0.46512152,1,0.9490948576891968,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,0.66449447,1.187800195,1,0.948554260635998,0
4,3,20,,,4,22,1,1,13.64,13.64,-4.51e-16,1.237859706,1,0.9485161542462751,0
8,2,43,40.0,2.0,3,16,1,1,25.0,25.0,1.109689198,0.08171862,1,0.9483767122310074,0
7,7,40,20.0,0.0,6,22,2,1,22.73,4.55,0.986119126,0.964716126,1,0.9473235535988598,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,0.875241032,1.06922244,1,0.9471670788787545,0
9,6,55,20.0,0.0,6,20,2,1,30.0,5.0,0.604334712,1.182244116,1,0.9456147560501937,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,0.658106975,1.159007864,1,0.9447794790831109,0
7,4,37,30.0,1.0,4,21,1,1,23.8,0.0,1.076183912,0.698377725,1,0.9428920038228258,0
