Grade,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
6,1,1,16.67,0,5.6,5.2
6,1,1,16.67,0,4.4,5.4
6,1,1,16.67,0,4.8,4.4
6,1,1,16.67,0,3.6,4.2
3,1,1,8.7,26.08,4.4,3.8
3,2,2,8.7,26.08,3,3.6
3,1,1,8.7,26.08,2.2,2
3,1,1,8.7,26.08,3,2.6
3,1,1,8.7,26.08,3,2.2
3,1,1,8.7,26.08,5,4.8
3,1,1,8.7,26.08,2,1.6
3,1,1,8.7,26.08,4.4,5.4
3,2,1,8.7,26.08,4.4,3.2
3,1,2,8.7,26.08,3.4,3.4
3,1,1,8.7,26.08,2.8,2.8
3,1,1,8.7,26.08,4.4,4.4
3,1,1,8.7,26.08,3.2,3.6
3,1,1,8.7,26.08,3.4,3
3,1,2,8.7,26.08,3,2.8
3,1,2,8.7,26.08,3.8,3.4
3,1,2,8.7,26.08,3,3.2
3,1,1,8.7,26.08,3.4,4
3,1,1,8.7,26.08,4.2,3.8
3,1,1,8.7,26.08,4.6,5
3,1,2,8.7,26.08,4.6,5
3,1,1,8.7,26.08,3.8,4
3,1,1,8.7,26.08,4.2,3.4
4,1,1,8.7,13.04,3.2,3.2
4,2,1,8.7,13.04,4,4
4,1,1,8.7,13.04,4.4,4.6
4,1,1,8.7,13.04,4.4,3.6
4,1,1,8.7,13.04,1.8,2.2
4,1,1,8.7,13.04,2.6,2.6
4,1,1,8.7,13.04,4.6,4.2
4,1,1,8.7,13.04,2.6,3.2
4,1,2,8.7,13.04,4.8,4.2
4,1,1,8.7,13.04,4.4,4.6
4,1,1,8.7,13.04,3,3
4,1,1,8.7,13.04,3.6,3.6
4,1,1,8.7,13.04,3.2,3.4
4,1,1,8.7,13.04,3,3.8
4,1,2,8.7,13.04,2.8,3.2
4,1,1,8.7,13.04,3,3.6
4,1,1,8.7,13.04,3.8,3.8
4,1,1,8.7,13.04,3.6,3.4
4,1,1,8.7,13.04,2.4,2.6
4,1,1,8.7,13.04,4.2,5
4,1,1,8.7,13.04,3.2,2.6
4,1,1,8.7,13.04,3.4,3.8
4,2,2,8.7,13.04,3.6,3.8
5,2,1,13.64,4.55,1,2
5,1,2,13.64,4.55,2.4,1
5,1,1,13.64,4.55,5.8,5.6
5,1,1,13.64,4.55,2.8,3.2
5,1,1,13.64,4.55,3.2,3
5,1,1,13.64,4.55,4.4,3.8
5,1,1,13.64,4.55,4.6,4.4
5,1,1,13.64,4.55,5,3.2
5,2,1,13.64,4.55,4,3.4
5,2,1,13.64,4.55,5,4.2
5,1,1,13.64,4.55,3.2,2.2
5,1,1,13.64,4.55,3.8,4
5,1,1,13.64,4.55,5.4,3.6
5,1,1,13.64,4.55,3.2,3
5,1,1,13.64,4.55,3.8,4
5,1,1,13.64,4.55,2.6,2.6
5,1,1,13.64,4.55,5.8,4.8
5,1,1,13.64,4.55,4.8,3.8
5,1,1,13.64,4.55,5.4,5.2
5,1,1,13.64,4.55,4,3.2
5,1,1,13.64,4.55,3.8,3.4
5,1,1,13.64,4.55,3,3
5,1,2,26.09,26.09,2,1.8
5,2,2,26.09,26.09,2.6,3.2
5,1,2,26.09,26.09,5.8,5.8
5,2,2,26.09,26.09,2.4,2
5,1,2,26.09,26.09,4.2,3.2
5,1,1,26.09,26.09,5.2,4.4
5,1,1,26.09,26.09,4,3.4
5,1,1,26.09,26.09,3,4.2
5,1,1,26.09,26.09,2.8,2
5,1,1,26.09,26.09,5.6,5.4
5,1,1,26.09,26.09,2,3
5,1,1,26.09,26.09,5.4,5.4
5,1,1,26.09,26.09,4,4.2
5,2,1,26.09,26.09,3,4.4
5,2,1,26.09,26.09,3.8,5
5,2,1,26.09,26.09,2.2,3
5,1,1,26.09,26.09,3.6,3
5,1,1,26.09,26.09,4,4.4
5,2,1,26.09,26.09,5,5.4
5,1,1,26.09,26.09,3,3.6
5,1,1,26.09,26.09,3.4,3.4
5,1,1,26.09,26.09,6,5.8
5,1,1,26.09,26.09,4.8,5
6,2,1,10,15,3,3.2
6,1,2,10,15,3.6,3.8
6,1,1,10,15,3.4,3.6
6,1,2,10,15,3,3.6
6,1,1,10,15,4.6,4
6,1,1,10,15,4,2.2
6,1,1,10,15,3.8,3.4
6,1,2,10,15,3,3.2
6,1,1,10,15,1.4,2.4
6,1,1,10,15,3.8,3.2
