School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted,AveAca_converted,AveSocio_converted
7,7,40,20,0,6,22,2,1,22.73,4.55,0.986119126,0.964716126,0.979698226,1,0.980911294,0,3.692137823,3.942043981
9,3,51,20,0,4,24,1,1,29.17,4.17,0.892428948,1.164792256,0.97413794,1,0.980538002,0,3.599686144,4.163568224
5,8,28,20,0,6,24,1,1,16.67,0,1.018891521,0.838018543,0.964629628,1,0.979882929,0,3.724476997,3.801764447
7,4,37,30,1,4,21,1,1,23.8,0,1.076183912,0.698377725,0.962842056,1,0.979757373,0,3.781012035,3.647154167
9,2,50,20,0,3,20,1,1,15,15,0.658811531,1.641009868,0.953471032,1,0.979086443,0,3.369156935,4.690836251
3,1,12,40,2,3,20,1,2,20,10,1.063323782,0.691321979,0.951723241,1,0.978958909,0,3.768321904,3.639342047
8,3,44,30,1,4,22,1,1,27.27,18.18,0.745257689,1.4179313,0.947059772,1,0.978614868,0,3.454460354,4.443843714
1,5,5,30,1,5,20,1,1,36.84,5.2,0.865555046,1.137029659,0.94699743,1,0.978610232,0,3.57316749,4.132829484
9,4,52,20,0,4,25,1,1,16,16,1.152143059,0.46512152,0.946036597,1,0.978538648,0,3.855967072,3.388892952
2,5,10,20,0,6,19,1,2,15.79,42.1,0.991900927,0.831340191,0.943732706,1,0.978366045,0,3.697843194,3.794370177
6,1,29,40,2,3,23,1,1,8.7,26.08,0.96223045,0.896814446,0.942605649,1,0.978281111,0,3.668564934,3.866863257
2,2,7,40,2,3,19,1,2,5.26,63.15,0.875241032,1.06922244,0.933435454,1,0.977577772,0,3.582725436,4.057753347
9,3,51,20,0,4,24,1,2,29.17,4.17,0.892428948,0.993289102,0.922686994,1,0.976724879,0,3.599686144,3.973679973
9,3,51,20,0,4,24,1,1,29.17,4.17,0.892428948,0.993289102,0.922686994,1,0.976724879,0,3.599686144,3.973679973
5,7,27,30,1,6,24,1,1,16.67,0,0.832449074,1.125895075,0.920482874,1,0.976546088,0,3.540499149,4.120501275
3,5,16,30,1,5,22,1,1,18.18,4.55,0.990769781,0.752486805,0.919284888,1,0.976448347,0,3.696727001,3.707063727
3,5,16,30,1,5,22,1,1,18.18,4.55,0.990769781,0.752486805,0.919284888,1,0.976448347,0,3.696727001,3.707063727
4,2,19,30,1,4,22,1,1,22.73,9.09,1.182943036,0.286596358,0.914039033,1,0.976015625,0,3.886359901,3.191229935
3,2,13,,,4,22,1,1,40.9,13.64,1.178862927,0.293400663,0.913224248,1,0.975947719,0,3.882333727,3.19876366
5,8,28,20,0,6,24,1,1,16.67,0,1.018891521,0.663127716,0.91216238,1,0.975858937,0,3.724476997,3.608125365
3,4,15,30,1,5,20,2,1,35,5,0.461682691,1.949618572,0.908063455,1,0.975513209,0,3.174633958,5.032527734
9,1,49,30,1,3,21,1,1,9.52,19.05,0.599084124,1.614366008,0.903668689,1,0.975137138,0,3.31021907,4.661336175
1,4,4,40,2,5,21,1,1,33.33,4.76,1.165336376,0.291718965,0.903251153,1,0.975101116,0,3.868985985,3.196901685
